JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim
0-200-16,200,16,51328,3200,19872,1,30000,960000,480000,96000,384000,5,5,16,1200,25,16
0-200-20,200,20,64160,4000,7040,1,24000,960000,480000,96000,384000,5,5,20,960,25,20
0-240-8,240,8,30784,1920,40416,1,60000,960000,480000,96000,384000,6,5,8,2000,30,8
0-240-10,240,10,38480,2400,32720,1,48000,960000,480000,96000,384000,6,5,10,1600,30,10
0-240-16,240,16,61568,3840,9632,1,30000,960000,480000,96000,384000,6,5,16,1000,30,16
0-400-8,400,8,51264,3200,19936,1,60000,960000,480000,96000,384000,10,5,8,1200,50,8
0-400-10,400,10,64080,4000,7120,1,48000,960000,480000,96000,384000,10,5,10,960,50,10
